domain,problem,runtime,size,status,jic-limit,trials,forgetpolicy,fullstate,planlocal,partial-planlocal,plan-with-policy,limit-planlocal,detect-deadends,generalize-deadends,online-deadends,optimized-scd,jic time,policy eval,policy creation,policy use,search time,engine time,regression time,simulator time,successful states,replans,actions,policy score,strongly cyclic,succeeded
blocksworld,p1.pddl,0.040000,9,-,18000,100,0,0,1,1,1,1,1,1,1,1,0.030000,0.030000,0.010000,0.020000,0.000000,0.000000,0.000000,0.000000,11,0,11,1.000000,True,100
blocksworld,p1.pddl,0.020000,9,-,18000,100,0,0,1,1,1,1,1,1,1,1,0.020000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11,0,11,1.000000,True,100
blocksworld,p1.pddl,0.040000,9,-,18000,100,0,0,1,1,1,1,1,1,1,1,0.040000,0.040000,0.000000,0.010000,0.000000,0.000000,0.000000,0.000000,11,0,11,1.000000,True,100
blocksworld,p1.pddl,0.040000,9,-,18000,100,0,0,1,1,1,1,1,1,1,1,0.030000,0.030000,0.000000,0.030000,0.000000,0.000000,0.000000,0.000000,11,0,11,1.000000,True,100
blocksworld,p1.pddl,0.030000,9,-,18000,100,0,0,1,1,1,1,1,1,1,1,0.030000,0.030000,0.000000,0.010000,0.000000,0.000000,0.000000,0.000000,11,0,11,1.000000,True,100
blocksworld,p1.pddl,0.040000,9,-,18000,100,0,0,1,1,1,1,1,1,1,1,0.030000,0.020000,0.000000,0.030000,0.000000,0.000000,0.000000,0.010000,11,0,11,1.000000,True,100
blocksworld,p1.pddl,0.040000,9,-,18000,100,0,0,1,1,1,1,1,1,1,1,0.030000,0.030000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11,0,11,1.000000,True,100
blocksworld,p1.pddl,0.040000,9,-,18000,100,0,0,1,1,1,1,1,1,1,1,0.040000,0.040000,0.000000,0.030000,0.000000,0.000000,0.000000,0.000000,11,0,11,1.000000,True,100
blocksworld,p1.pddl,0.040000,9,-,18000,100,0,0,1,1,1,1,1,1,1,1,0.020000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,11,0,11,1.000000,True,100
blocksworld,p1.pddl,0.030000,9,-,18000,100,0,0,1,1,1,1,1,1,1,1,0.030000,0.030000,0.000000,0.010000,0.000000,0.000000,0.000000,0.000000,11,0,11,1.000000,True,100
blocksworld,p2.pddl,0.040000,8,-,18000,100,0,0,1,1,1,1,1,1,1,1,0.030000,0.030000,0.000000,0.030000,0.000000,0.000000,0.000000,0.010000,10,0,10,1.000000,True,100
blocksworld,p2.pddl,0.060000,8,-,18000,100,0,0,1,1,1,1,1,1,1,1,0.030000,0.030000,0.000000,0.040000,0.000000,0.000000,0.000000,0.020000,10,0,10,1.000000,True,100
blocksworld,p2.pddl,0.040000,8,-,18000,100,0,0,1,1,1,1,1,1,1,1,0.040000,0.040000,0.000000,0.030000,0.000000,0.000000,0.000000,0.000000,10,0,10,1.000000,True,100
blocksworld,p2.pddl,0.040000,8,-,18000,100,0,0,1,1,1,1,1,1,1,1,0.030000,0.030000,0.000000,0.030000,0.000000,0.000000,0.000000,0.010000,10,0,10,1.000000,True,100
blocksworld,p2.pddl,0.040000,8,-,18000,100,0,0,1,1,1,1,1,1,1,1,0.040000,0.030000,0.000000,0.010000,0.000000,0.000000,0.000000,0.000000,10,0,10,1.000000,True,100
blocksworld,p2.pddl,0.040000,8,-,18000,100,0,0,1,1,1,1,1,1,1,1,0.030000,0.030000,0.000000,0.010000,0.000000,0.000000,0.000000,0.000000,10,0,10,1.000000,True,100
blocksworld,p2.pddl,0.040000,8,-,18000,100,0,0,1,1,1,1,1,1,1,1,0.030000,0.030000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,10,0,10,1.000000,True,100
blocksworld,p2.pddl,0.040000,8,-,18000,100,0,0,1,1,1,1,1,1,1,1,0.040000,0.030000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,10,0,10,1.000000,True,100
blocksworld,p2.pddl,0.040000,8,-,18000,100,0,0,1,1,1,1,1,1,1,1,0.030000,0.030000,0.000000,0.020000,0.000000,0.000000,0.000000,0.010000,10,0,10,1.000000,True,100
blocksworld,p2.pddl,0.040000,8,-,18000,100,0,0,1,1,1,1,1,1,1,1,0.030000,0.030000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10,0,10,1.000000,True,100
blocksworld,p3.pddl,0.040000,15,-,18000,100,0,0,1,1,1,1,1,1,1,1,0.040000,0.030000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,19,0,19,1.000000,True,100
blocksworld,p3.pddl,0.060000,15,-,18000,100,0,0,1,1,1,1,1,1,1,1,0.050000,0.050000,0.000000,0.010000,0.000000,0.000000,0.000000,0.000000,19,0,19,1.000000,True,100
blocksworld,p3.pddl,0.050000,15,-,18000,100,0,0,1,1,1,1,1,1,1,1,0.030000,0.030000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,19,0,19,1.000000,True,100
